# time = 2.54
# Grid points = 1730
# Domain Size = 4
# Pressure (Pa) = 100000
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel
  -7.0846674882e-01  -7.0880652201e-01   1.1960000000e+00   1.8346640000e-05   2.9313988185e-01   3.6488848370e-03   3.6488848370e-03
  -7.0777572496e-01  -7.0812697563e-01   1.1960000000e+00   1.8346640000e-05   2.8469472229e-01   3.1231784687e-03   3.1231784687e-03
  -7.0712511650e-01  -7.0742447430e-01   1.1960000000e+00   1.8346640000e-05   3.2820307250e-01   3.2749427459e-03   3.2749427459e-03
  -7.0671781145e-01  -7.0682575870e-01   1.1960000000e+00   1.8346640000e-05   3.8330364161e-01   3.5423974514e-03   3.5423974514e-03
  -7.0646132089e-01  -7.0660986420e-01   1.1960000000e+00   1.8346640000e-05   4.2415023125e-01   3.7087232505e-03   3.7087232505e-03
  -7.0613980977e-01  -7.0631277758e-01   1.1960000000e+00   1.8346640000e-05   4.8518586633e-01   3.8668961675e-03   3.8668961675e-03
  -7.0571564783e-01  -7.0596684195e-01   1.1960000000e+00   1.8346640000e-05   5.7146610998e-01   3.9349987536e-03   3.9349987536e-03
  -7.0522833672e-01  -7.0546445371e-01   1.1960000000e+00   1.8346640000e-05   6.0796697095e-01   3.7183967737e-03   3.7183967737e-03
  -7.0451017723e-01  -7.0499221972e-01   1.1960000000e+00   1.8346640000e-05   6.6266041039e-01   2.4201254746e-03   2.4201254746e-03
  -7.0307971916e-01  -7.0402813474e-01   1.1960000000e+00   1.8346640000e-05   6.1027570599e-01   3.1405330529e-03   3.1405330529e-03
  -7.0119574259e-01  -7.0213130359e-01   1.1960000000e+00   1.8346640000e-05   5.6505188301e-01   3.7215795320e-03   3.7215795320e-03
  -6.9986015806e-01  -7.0026018158e-01   1.1960000000e+00   1.8346640000e-05   3.2310555320e-01   2.3241618769e-03   2.3241618769e-03
  -6.9883373002e-01  -6.9946013453e-01   1.1960000000e+00   1.8346640000e-05   2.0380221303e-01   9.9380048968e-04   9.9380048968e-04
  -6.9752811926e-01  -6.9820732551e-01   1.1960000000e+00   1.8346640000e-05   1.7980084744e-01   6.4778983215e-04   6.4778983215e-04
  -6.9547633454e-01  -6.9684891302e-01   1.1960000000e+00   1.8346640000e-05   1.7582053856e-01   5.9262898520e-04   5.9262898520e-04
  -6.9273322318e-01  -6.9410375607e-01   1.1960000000e+00   1.8346640000e-05   1.7519186545e-01   5.8957568243e-04   5.8957568243e-04
  -6.9069580516e-01  -6.9136269029e-01   1.1960000000e+00   1.8346640000e-05   1.8534791844e-01   7.2532727275e-04   7.2532727275e-04
  -6.8943678165e-01  -6.9002892003e-01   1.1960000000e+00   1.8346640000e-05   2.3829886472e-01   1.3690403303e-03   1.3690403303e-03
  -6.8839465058e-01  -6.8884464328e-01   1.1960000000e+00   1.8346640000e-05   4.2639854522e-01   3.0661735091e-03   3.0661735091e-03
  -6.8724699906e-01  -6.8794465788e-01   1.1960000000e+00   1.8346640000e-05   5.4890284104e-01   4.2098592554e-03   4.2098592554e-03
  -6.8585561826e-01  -6.8654934025e-01   1.1960000000e+00   1.8346640000e-05   5.9897089274e-01   3.2757221446e-03   3.2757221446e-03
  -6.8446826951e-01  -6.8516189627e-01   1.1960000000e+00   1.8346640000e-05   5.9421105320e-01   3.4369912679e-03   3.4369912679e-03
  -6.8308091143e-01  -6.8377464275e-01   1.1960000000e+00   1.8346640000e-05   5.6118387446e-01   4.1125302984e-03   4.1125302984e-03
  -6.8191168097e-01  -6.8238718010e-01   1.1960000000e+00   1.8346640000e-05   4.8330388132e-01   3.4922926823e-03   3.4922926823e-03
  -6.8064486769e-01  -6.8143618185e-01   1.1960000000e+00   1.8346640000e-05   2.3156145591e-01   1.3348886444e-03   1.3348886444e-03
  -6.7897971603e-01  -6.7985355352e-01   1.1960000000e+00   1.8346640000e-05   1.8126367679e-01   6.6414994997e-04   6.6414994997e-04
  -6.7633020511e-01  -6.7810587853e-01   1.1960000000e+00   1.8346640000e-05   1.7320046082e-01   5.7162313141e-04   5.7162313141e-04
  -6.7100123211e-01  -6.7455453168e-01   1.1960000000e+00   1.8346640000e-05   1.6886339978e-01   5.3722707298e-04   5.3722707298e-04
  -6.6455541750e-01  -6.6744793253e-01   1.1960000000e+00   1.8346640000e-05   1.6801967378e-01   5.3518193252e-04   5.3518193252e-04
  -6.5854297403e-01  -6.6166290248e-01   1.1960000000e+00   1.8346640000e-05   1.6409088279e-01   6.8151668086e-04   6.8151668086e-04
  -6.5468076049e-01  -6.5542304559e-01   1.1960000000e+00   1.8346640000e-05   2.2265470152e-01   4.3151881883e-03   4.3151881883e-03
  -6.5369218646e-01  -6.5393847539e-01   1.1960000000e+00   1.8346640000e-05   3.2554382743e-01   7.5157426472e-03   7.5157426472e-03
  -6.5333200843e-01  -6.5344589753e-01   1.1960000000e+00   1.8346640000e-05   3.7215866474e-01   8.5788537223e-03   8.5788537223e-03
  -6.5307688935e-01  -6.5321811933e-01   1.1960000000e+00   1.8346640000e-05   4.0773486001e-01   9.2334521172e-03   9.2334521172e-03
  -6.5277082746e-01  -6.5293565936e-01   1.1960000000e+00   1.8346640000e-05   4.5355711810e-01   9.7955003315e-03   9.7955003315e-03
  -6.5241582849e-01  -6.5260599555e-01   1.1960000000e+00   1.8346640000e-05   5.0935795759e-01   1.0015639786e-02   1.0015639786e-02
  -6.5180137772e-01  -6.5222566144e-01   1.1960000000e+00   1.8346640000e-05   6.0622717267e-01   9.2729055537e-03   9.2729055537e-03
  -6.5099044851e-01  -6.5137709401e-01   1.1960000000e+00   1.8346640000e-05   7.0466193049e-01   4.3671313252e-03   4.3671313252e-03
  -6.4986457379e-01  -6.5060380302e-01   1.1960000000e+00   1.8346640000e-05   7.7466190919e-01  -2.3722247031e-03  -2.3722247031e-03
  -6.4874094815e-01  -6.4912534456e-01   1.1960000000e+00   1.8346640000e-05   7.1550530062e-01   3.2073081683e-03   3.2073081683e-03
  -6.4795121664e-01  -6.4835655173e-01   1.1960000000e+00   1.8346640000e-05   6.2634988559e-01   8.0439988865e-03   8.0439988865e-03
  -6.4729568584e-01  -6.4754588155e-01   1.1960000000e+00   1.8346640000e-05   5.2529508753e-01   9.5969330125e-03   9.5969330125e-03
  -6.4688361017e-01  -6.4704549012e-01   1.1960000000e+00   1.8346640000e-05   4.6045086983e-01   9.5704794211e-03   9.5704794211e-03
  -6.4650544851e-01  -6.4672173022e-01   1.1960000000e+00   1.8346640000e-05   4.0337477627e-01   9.1032118576e-03   9.1032118576e-03
  -6.4609662852e-01  -6.4628916681e-01   1.1960000000e+00   1.8346640000e-05   3.4898856993e-01   8.2195262552e-03   8.2195262552e-03
  -6.4542039233e-01  -6.4590409022e-01   1.1960000000e+00   1.8346640000e-05   2.7461916900e-01   6.6408715146e-03   6.6408715146e-03
  -6.4440168061e-01  -6.4493669444e-01   1.1960000000e+00   1.8346640000e-05   2.4883088713e-01   6.0869613839e-03   6.0869613839e-03
  -6.4365050428e-01  -6.4386666679e-01   1.1960000000e+00   1.8346640000e-05   3.0526832233e-01   7.7214370103e-03   7.7214370103e-03
  -6.4324322220e-01  -6.4343434178e-01   1.1960000000e+00   1.8346640000e-05   3.4920019432e-01   8.7383812344e-03   8.7383812344e-03
  -6.4293259054e-01  -6.4305210263e-01   1.1960000000e+00   1.8346640000e-05   3.9016644201e-01   9.4383485441e-03   9.4383485441e-03
  -6.4266106006e-01  -6.4281307845e-01   1.1960000000e+00   1.8346640000e-05   4.2918399340e-01   9.9295391628e-03   9.9295391628e-03
  -6.4234222031e-01  -6.4250904167e-01   1.1960000000e+00   1.8346640000e-05   4.7848155680e-01   1.0219006467e-02   1.0219006467e-02
  -6.4184183059e-01  -6.4217539896e-01   1.1960000000e+00   1.8346640000e-05   5.5871320821e-01   9.9895397911e-03   9.9895397911e-03
  -6.4103854526e-01  -6.4150826221e-01   1.1960000000e+00   1.8346640000e-05   6.7909007216e-01   6.8802637359e-03   6.8802637359e-03
  -6.4011858095e-01  -6.4056882831e-01   1.1960000000e+00   1.8346640000e-05   7.6225969357e-01   2.1608966901e-03   2.1608966901e-03
  -6.3878435938e-01  -6.3966833359e-01   1.1960000000e+00   1.8346640000e-05   7.9592949585e-01   2.7292403533e-03   2.7292403533e-03
  -6.3709286176e-01  -6.3790038516e-01   1.1960000000e+00   1.8346640000e-05   6.7047254724e-01   3.4582253917e-03   3.4582253917e-03
  -6.3567550490e-01  -6.3628533837e-01   1.1960000000e+00   1.8346640000e-05   5.1465127746e-01   2.6055896983e-03   2.6055896983e-03
  -6.3390794947e-01  -6.3506567142e-01   1.1960000000e+00   1.8346640000e-05   3.7422089577e-01   1.7114881876e-03   1.7114881876e-03
  -6.3211378056e-01  -6.3275022751e-01   1.1960000000e+00   1.8346640000e-05   4.6911808212e-01   2.1887914749e-03   2.1887914749e-03
  -6.3061280418e-01  -6.3147733361e-01   1.1960000000e+00   1.8346640000e-05   6.1706838900e-01   3.3922070973e-03   3.3922070973e-03
  -6.2851069108e-01  -6.2974827475e-01   1.1960000000e+00   1.8346640000e-05   7.8693498289e-01   6.0076772467e-03   6.0076772467e-03
  -6.2608342625e-01  -6.2727310741e-01   1.1960000000e+00   1.8346640000e-05   8.0530667646e-01  -2.8966388458e-03  -2.8966388458e-03
  -6.2251884667e-01  -6.2489374508e-01   1.1960000000e+00   1.8346640000e-05   8.2564615119e-01   2.1716204907e-03   2.1716204907e-03
  -6.1425539192e-01  -6.2014394825e-01   1.1960000000e+00   1.8346640000e-05   9.0625838615e-01   5.8270817866e-03   5.8270817866e-03
  -6.0249700415e-01  -6.0836683559e-01   1.1960000000e+00   1.8346640000e-05   9.6585858558e-01   2.3626392381e-02   2.3626392381e-02
  -5.9415781393e-01  -5.9662717271e-01   1.1960000000e+00   1.8346640000e-05   9.6139392947e-01   2.0301332104e-02   2.0301332104e-02
  -5.9044997130e-01  -5.9168845514e-01   1.1960000000e+00   1.8346640000e-05   9.3114665662e-01   2.0349001664e-02   2.0349001664e-02
  -5.8794246045e-01  -5.8921148745e-01   1.1960000000e+00   1.8346640000e-05   8.9232502013e-01   2.2670745648e-02   2.2670745648e-02
  -5.8432009591e-01  -5.8667343346e-01   1.1960000000e+00   1.8346640000e-05   7.7062855146e-01   3.8263351229e-02   3.8263351229e-02
  -5.7955899427e-01  -5.8196675837e-01   1.1960000000e+00   1.8346640000e-05   7.4439262273e-01  -3.1960577422e-02  -3.1960577422e-02
  -5.7368846673e-01  -5.7715123017e-01   1.1960000000e+00   1.8346640000e-05   6.6487782763e-01  -4.4587960034e-02  -4.4587960034e-02
  -5.6665194459e-01  -5.7022570330e-01   1.1960000000e+00   1.8346640000e-05   7.3632501660e-01  -2.4049055529e-02  -2.4049055529e-02
  -5.5831493072e-01  -5.6307818588e-01   1.1960000000e+00   1.8346640000e-05   6.8070016543e-01  -6.5851597400e-03  -6.5851597400e-03
  -5.4876640794e-01  -5.5355167557e-01   1.1960000000e+00   1.8346640000e-05   5.8039747818e-01  -7.0428767357e-03  -7.0428767357e-03
  -5.4108492187e-01  -5.4398114031e-01   1.1960000000e+00   1.8346640000e-05   5.9012539321e-01   6.1733475594e-04   6.1733475594e-04
  -5.3640258775e-01  -5.3818870343e-01   1.1960000000e+00   1.8346640000e-05   5.1394458466e-01   8.4479971902e-04   8.4479971902e-04
  -5.3274494716e-01  -5.3461647207e-01   1.1960000000e+00   1.8346640000e-05   4.5901493513e-01   7.5882368261e-04   7.5882368261e-04
  -5.2901981638e-01  -5.3087342225e-01   1.1960000000e+00   1.8346640000e-05   4.6522632733e-01   7.7739391233e-04   7.7739391233e-04
  -5.2573443230e-01  -5.2716621052e-01   1.1960000000e+00   1.8346640000e-05   4.7717285629e-01   7.8372776040e-04   7.8372776040e-04
  -5.2309740421e-01  -5.2430265408e-01   1.1960000000e+00   1.8346640000e-05   5.0760860195e-01   7.5582316430e-04   7.5582316430e-04
  -5.1954930292e-01  -5.2189215434e-01   1.1960000000e+00   1.8346640000e-05   5.7066227637e-01   4.7169608654e-04   4.7169608654e-04
  -5.1500303954e-01  -5.1720645151e-01   1.1960000000e+00   1.8346640000e-05   6.2349186608e-01  -2.2247982212e-03  -2.2247982212e-03
  -5.0977358128e-01  -5.1279962757e-01   1.1960000000e+00   1.8346640000e-05   6.6758069957e-01  -1.1644866007e-02  -1.1644866007e-02
  -5.0394578138e-01  -5.0674753500e-01   1.1960000000e+00   1.8346640000e-05   6.1473671694e-01  -2.1119274876e-02  -2.1119274876e-02
